Gene Symbol;Entrez ID;Ensembl ID;Core AutophagyNet;AutophagyNet;HADB;HAMdb;GO-0061919
ABCF3;55324;ENSG00000161204;0;1;0;0;0
ABHD10;55347;ENSG00000144827;0;1;0;0;0
ABHD5;51099;ENSG00000011198;0;0;0;1;0
ABI2;10152;ENSG00000138443;0;0;0;0;1
ABL1;25;ENSG00000097007;0;0;0;1;0
ABL2;27;ENSG00000143322;0;0;1;1;0
ABTB2;25841;ENSG00000166016;0;1;0;0;0
ACACA;31;ENSG00000278540;0;1;0;0;0
ACBD5;91452;ENSG00000107897;0;0;0;1;1
ACBD6;100527964;ENSG00000230124;0;1;0;0;0
ACOT4;122970;ENSG00000177465;0;1;0;0;0
ADAMTS12;81792;ENSG00000151388;0;1;0;0;0
ADAMTSL4;54507;ENSG00000143382;0;1;0;0;0
ADRB2;154;ENSG00000169252;0;1;0;0;0
AGAP1;116987;ENSG00000157985;0;1;0;0;0
AGPS;8540;ENSG00000018510;0;1;0;0;0
AGR2;10551;ENSG00000106541;0;1;0;0;0
AJUBA;84962;ENSG00000129474;0;1;0;0;0
AKAP1;8165;ENSG00000121057;0;1;0;0;0
AKAP13;11214;ENSG00000170776;0;1;0;0;0
AKT1;207;ENSG00000142208;0;1;1;1;0
AKT2;208;ENSG00000105221;0;0;0;1;0
AKT3;10000;ENSG00000117020;0;0;0;1;0
ALDH1A3;220;ENSG00000184254;0;0;1;0;0
ALDH1B1;219;ENSG00000137124;0;1;0;0;0
AMBRA1;55626;ENSG00000110497;1;1;1;0;1
AMFR;267;ENSG00000159461;0;0;0;1;0
AMOT;154796;ENSG00000126016;0;1;0;0;0
ANGPTL8;55908;ENSG00000130173;0;1;0;0;0
ANK2;287;ENSG00000145362;0;1;0;0;0
ANK3;288;ENSG00000151150;0;1;0;0;0
ANKRD10;55608;ENSG00000088448;0;1;0;0;0
ANKRD39;51239;ENSG00000213337;0;1;0;0;0
ANKRD9;122416;ENSG00000156381;0;1;0;0;0
ANKS3;124401;ENSG00000168096;0;1;0;0;0
ANLN;54443;ENSG00000011426;0;1;0;0;0
ANXA7;310;ENSG00000138279;0;0;1;1;1
AP1G2;8906;ENSG00000213983;0;1;0;0;0
AP1M1;8907;ENSG00000072958;0;1;0;0;0
AP2B1;163;ENSG00000006125;0;1;0;0;0
AP2M1;1173;ENSG00000161203;0;1;0;0;0
AP4M1;9179;ENSG00000221838;0;0;0;0;1
APEX1;328;ENSG00000100823;0;1;0;0;0
APLNR;187;ENSG00000134817;0;1;0;0;0
APOL1;8542;ENSG00000100342;0;0;1;1;0
APOL6;80830;ENSG00000221963;0;0;0;1;0
APP;351;ENSG00000142192;0;1;0;1;0
AR;367;ENSG00000169083;0;1;0;0;0
ARAF;369;ENSG00000078061;0;1;0;0;0
ARF6;382;ENSG00000165527;0;1;0;1;0
ARFIP2;23647;ENSG00000132254;0;0;0;0;1
ARFRP1;10139;ENSG00000101246;0;1;0;0;0
ARHGAP25;9938;ENSG00000163219;0;1;0;0;0
ARHGAP26;23092;ENSG00000145819;0;0;0;0;1
ARL6IP1;23204;ENSG00000170540;0;1;0;0;0
ARL8B;55207;ENSG00000134108;0;0;0;0;1
ARNT;405;ENSG00000143437;0;0;1;0;0
ARSA;410;ENSG00000100299;0;0;1;0;0
ARSB;411;ENSG00000113273;0;0;1;0;0
ARSK;153642;ENSG00000164291;0;1;0;0;0
ASB8;140461;ENSG00000177981;0;1;0;0;0
ASIC1;41;ENSG00000110881;0;0;1;0;0
ASPH;444;ENSG00000198363;0;1;0;0;0
ATAD3A;55210;ENSG00000197785;0;1;0;0;0
ATE1;11101;ENSG00000107669;0;0;0;0;1
ATF4;468;ENSG00000128272;0;1;1;0;0
ATF6;22926;ENSG00000118217;0;0;1;0;0
ATG10;83734;ENSG00000152348;1;1;1;1;1
ATG101;60673;ENSG00000123395;1;1;1;0;1
ATG12;9140;ENSG00000145782;1;1;1;0;1
ATG12P1;100151642;ENSG00000266501;0;0;1;0;0
ATG13;9776;ENSG00000175224;1;1;1;0;1
ATG14;22863;ENSG00000126775;1;1;1;1;1
ATG16L1;55054;ENSG00000085978;1;1;1;1;1
ATG16L2;89849;ENSG00000168010;1;1;1;0;0
ATG2A;23130;ENSG00000110046;1;1;1;1;1
ATG2B;55102;ENSG00000066739;1;1;1;1;0
ATG3;64422;ENSG00000144848;1;1;1;0;1
ATG3P1;100135756;ENSG00000224357;0;0;1;0;0
ATG4A;115201;ENSG00000101844;1;1;1;0;1
ATG4B;23192;ENSG00000168397;1;1;1;1;1
ATG4C;84938;ENSG00000125703;0;1;1;1;1
ATG4D;84971;ENSG00000130734;0;1;1;0;1
ATG5;9474;ENSG00000057663;1;1;1;1;1
ATG7;10533;ENSG00000197548;1;1;1;1;1
ATG9A;79065;ENSG00000198925;0;1;1;1;1
ATG9B;285973;ENSG00000181652;0;0;1;1;1
ATIC;471;ENSG00000138363;0;0;1;0;0
ATM;472;ENSG00000149311;0;0;0;1;1
ATP13A2;23400;ENSG00000159363;0;0;1;0;1
ATP1A1;476;ENSG00000163399;0;1;0;0;0
ATP2A2;488;ENSG00000174437;0;0;0;0;1
ATP2A3;489;ENSG00000074370;0;1;0;0;0
ATP2B2;491;ENSG00000157087;0;1;0;0;0
ATP6V0C;527;ENSG00000185883;0;0;1;0;0
ATXN1;6310;ENSG00000124788;0;1;0;0;0
ATXN3;4287;ENSG00000066427;0;1;0;0;0
ATXN7L1;222255;ENSG00000146776;0;1;0;0;0
AUP1;550;ENSG00000115307;0;0;0;0;1
AURKA;6790;ENSG00000087586;0;1;1;1;0
AURKB;9212;ENSG00000178999;0;1;0;0;0
AVEN;57099;ENSG00000169857;0;1;0;0;0
AXIN1;8312;ENSG00000103126;0;1;0;0;0
AZI2;64343;ENSG00000163512;0;1;0;0;0
B3GAT1;27087;ENSG00000109956;0;1;0;0;0
B4GALT5;9334;ENSG00000158470;0;1;0;0;0
BABAM2;9577;ENSG00000158019;0;1;0;0;0
BAD;572;ENSG00000002330;0;1;0;1;0
BAG1;573;ENSG00000107262;0;1;1;0;0
BAG2;9532;ENSG00000112208;0;1;0;0;0
BAG3;9531;ENSG00000151929;0;1;1;0;0
BAG5;9529;ENSG00000166170;0;1;0;0;0
BAG6;7917;ENSG00000204463;0;1;0;0;0
BAIAP2;10458;ENSG00000175866;0;0;0;1;0
BAK1;578;ENSG00000030110;0;1;1;0;0
BANCR;100885775;ENSG00000278910;0;0;1;0;0
BAP1;8314;ENSG00000163930;0;1;0;0;0
BAP18;124944;ENSG00000258315;0;1;0;0;0
BAX;581;ENSG00000087088;0;1;1;1;0
BBC3;27113;ENSG00000105327;0;1;0;1;0
BBS7;55212;ENSG00000138686;0;1;0;0;0
BCAP31;10134;ENSG00000185825;0;1;0;0;0
BCAR1;9564;ENSG00000050820;0;1;0;0;0
BCAS3;54828;ENSG00000141376;0;0;1;0;0
BCAS4;55653;ENSG00000124243;0;1;0;0;0
BCL10;8915;ENSG00000142867;0;1;0;0;0
BCL2;596;ENSG00000171791;0;1;1;1;0
BCL2L1;598;ENSG00000171552;0;1;1;1;0
BCL2L10;10017;ENSG00000137875;0;1;0;0;0
BCL2L11;10018;ENSG00000153094;0;1;0;1;0
BCL2L12;83596;ENSG00000126453;0;1;0;0;0
BCOR;54880;ENSG00000183337;0;1;0;0;0
BDNF;627;ENSG00000176697;0;0;1;0;0
BECN1;8678;ENSG00000126581;1;1;1;1;1
BECN2;441925;ENSG00000196289;0;1;1;0;1
BFAR;51283;ENSG00000103429;0;1;0;0;0
BICD2;23299;ENSG00000185963;0;1;0;0;0
BID;637;ENSG00000015475;0;1;0;0;0
BIK;638;ENSG00000100290;0;1;0;0;0
BIN1;274;ENSG00000136717;0;1;0;0;0
BIRC2;329;ENSG00000110330;0;1;0;1;0
BIRC3;330;ENSG00000023445;0;1;0;0;0
BIRC5;332;ENSG00000089685;0;1;1;1;0
BIRC6;57448;ENSG00000115760;0;1;0;1;0
BLID;414899;ENSG00000259571;0;1;0;0;0
BLK;640;ENSG00000136573;0;1;0;0;0
BLVRA;644;ENSG00000106605;0;1;0;0;0
BMF;90427;ENSG00000104081;0;1;0;0;0
BNIP1;662;ENSG00000113734;0;1;1;0;0
BNIP2;663;ENSG00000140299;0;1;0;0;0
BNIP3;664;ENSG00000176171;0;1;1;1;1
BNIP3L;665;ENSG00000104765;0;1;1;1;0
BNIPL;149428;ENSG00000163141;0;1;0;0;0
BOD1;91272;ENSG00000145919;0;1;0;0;0
BOD1L2;284257;ENSG00000228075;0;1;0;0;0
BOK;666;ENSG00000176720;0;0;1;1;0
BORCS6;54785;ENSG00000196544;0;1;0;0;0
BRCA1;672;ENSG00000012048;0;1;0;0;0
BRD1;23774;ENSG00000100425;0;1;0;0;0
BRD4;23476;ENSG00000141867;0;1;0;0;0
BRINP3;339479;ENSG00000162670;0;1;0;0;0
BRK1;55845;ENSG00000254999;0;1;0;0;0
BSN;8927;ENSG00000164061;0;1;1;0;0
BST2;684;ENSG00000130303;0;0;0;1;0
BTF3;689;ENSG00000145741;0;1;0;0;0
BTK;695;ENSG00000010671;0;1;0;0;0
BTRC;8945;ENSG00000166167;0;0;0;0;1
C19orf12;83636;ENSG00000131943;0;0;1;1;1
C1ORF216;127703;ENSG00000142686;0;1;0;0;0
C1QTNF1;114897;ENSG00000173918;0;1;0;0;0
C1QTNF6;114904;ENSG00000133466;0;1;0;0;0
C2ORF73;129852;ENSG00000177994;0;1;0;0;0
C3;718;ENSG00000125730;0;1;0;0;0
C6ORF141;135398;ENSG00000197261;0;1;0;0;0
C9ORF78;51759;ENSG00000136819;0;1;0;0;0
C9orf72;203228;ENSG00000147894;0;1;1;1;1
CACNA1B;774;ENSG00000148408;0;1;0;0;0
CADPS;8618;ENSG00000163618;0;1;0;0;0
CALCOCO1;57658;ENSG00000012822;0;1;0;0;0
CALCOCO2;10241;ENSG00000136436;0;1;1;1;1
CALCR;799;ENSG00000004948;0;1;0;0;0
CALM1;805;ENSG00000143933;0;0;0;0;1
CALR;811;ENSG00000179218;0;1;0;0;0
CAMK2A;815;ENSG00000070808;0;0;1;0;0
CAMK2G;818;ENSG00000148660;0;1;0;0;0
CAMKK2;10645;ENSG00000110931;0;1;1;0;0
CAMKMT;79823;ENSG00000143919;0;1;0;0;0
CAMP;820;ENSG00000164047;0;0;0;1;0
CANX;821;ENSG00000127022;0;0;1;0;0
CAPN1;823;ENSG00000014216;0;1;1;1;0
CAPN10;11132;ENSG00000142330;0;0;1;0;0
CAPN2;824;ENSG00000162909;0;1;1;0;0
CAPN3;825;ENSG00000092529;0;1;0;0;0
CAPNS1;826;ENSG00000126247;0;0;1;1;0
CAPZB;832;ENSG00000077549;0;1;0;0;0
CASP1;834;ENSG00000137752;0;0;1;0;0
CASP2;835;ENSG00000106144;0;1;0;0;0
CASP3;836;ENSG00000164305;0;1;1;0;0
CASP4;837;ENSG00000196954;0;0;1;0;0
CASP8;841;ENSG00000064012;0;1;1;0;0
CASP9;842;ENSG00000132906;0;1;0;0;0
CAT;847;ENSG00000121691;0;0;0;1;0
